time,battery,batt_needed_rth,batt_needed_land,remaining_time,time_rth,time_land,total_time,distance,altitude,max_radius,flight_mode,rth_status
0.3,83,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
1.3,83,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
2.3,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
3.3,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
4.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
5.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
6.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
7.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
8.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
9.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
10.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
11.4,82,0,0,0,0,0,0,0.0,0.0,0.0,UNKNOWN,N/A
